#chrom	cdsStart	cdsEnd	name2
chr1	8967451	8967451	RP3-477M7.5
chr1	8969800	8969800	RP3-477M7.6
chr1	9636484	9636484	RP13-15M17.1
chr1	9720885	9720885	RP11-558F24.2
chr1	9840879	9840879	RP11-558F24.6
chr1	10078084	10078084	AL590639.1
chr1	10114502	10114502	RP11-496H15.2
chr1	10118728	10118728	PGAM1P11
chr1	10955817	10955817	RP11-340B24.3
chr1	11051034	11051034	CFL1P6
chr1	11293019	11293019	RPL39P6
chr1	11338672	11338672	UBE2V2P3
chr1	11485313	11485313	RP11-149P14.1
chr1	11937826	11937826	RP5-934G17.6
chr1	12077272	12077272	RP5-1077B9.5
chr1	12140349	12140349	RP11-426M1.2
chr1	12280850	12280850	RP5-1118D24.2
chr1	12752924	12752924	RP11-474O21.2
chr1	12897977	12897977	RP5-845O24.3
chr1	12985989	12985989	RP11-450I1.2
chr1	13012965	13012965	RP11-450I1.4
chr1	13108841	13108841	PRAMEF23
chr1	13123245	13123245	RP13-221M14.6
chr1	13140455	13140455	PRAMEF25
chr1	13162644	13162644	RP13-221M14.3
chr1	13171870	13171870	RP13-221M14.4
chr1	13182959	13182959	HNRNPCP5
chr1	13182992	13182992	HNRNPCP5
chr1	13196269	13196269	WI2-2994D6.1
chr1	13351481	13351481	RP11-248D7.2
chr1	13379148	13379148	RP11-219C24.8
chr1	13411550	13411550	RP11-219C24.6
chr1	13607430	13607430	XX-FW84067D5.1
chr1	13607744	13607744	XX-FW84067D5.1
chr1	13632347	13632347	XX-FW84067D5.2
chr1	13881495	13881495	RP4-597A16.3
chr1	15018624	15018624	TBCAP2
chr1	15518323	15518323	RP1-21O18.3
chr1	15931076	15931076	CHCHD2P6
chr1	15931091	15931091	CHCHD2P6
chr1	15941137	15941137	RP4-680D5.4
chr1	16119290	16119290	RP11-169K16.6
chr1	16133678	16133678	RP11-169K16.7
chr1	16133868	16133868	RP11-169K16.7
chr1	16154723	16154723	RP11-169K16.8
chr1	16154726	16154726	RP11-169K16.8
chr1	16244192	16244192	RP1-134O19.3
chr1	16296126	16296126	RP11-5P18.1
chr1	16314676	16314676	RP11-5P18.3
chr1	16316365	16316365	TBC1D3P6
chr1	16361672	16361672	RP11-5P18.10
chr1	16542963	16542963	ANO7P1
chr1	16567707	16567707	MT1XP1
chr1	16695644	16695644	RP11-430L17.1
chr1	16802410	16802410	CROCCP3
chr1	16875145	16875145	RP5-875O13.6
chr1	16972068	16972068	MST1P2
chr1	16972107	16972107	MST1P2
chr1	16972116	16972116	MST1P2
chr1	17012115	17012115	EIF1AXP1
chr1	17033418	17033418	ESPNP
chr1	17076727	17076727	CROCCP4
chr1	17081404	17081404	MST1L
chr1	17083726	17083726	MST1L
chr1	17215589	17215589	RP11-108M9.5
chr1	18839611	18839611	RP1-8B22.1
chr1	18839611	18839611	RP1-8B22.1
chr1	18921907	18921907	RP1-8B22.2
chr1	19623573	19623573	RP4-657E11.10
chr1	19934607	19934607	RPS14P3
chr1	20852481	20852481	RPS4XP4
chr1	20976855	20976855	AL391357.1
chr1	21019226	21019226	RP5-930J4.5
chr1	21330042	21330042	RPS15AP6
chr1	21400131	21400131	RP11-487E1.2
chr1	21487967	21487967	RP11-628K18.1
chr1	21724479	21724479	PPP1R11P1
chr1	21724479	21724479	PPP1R11P1
chr1	21737952	21737952	RP11-293F5.8
chr1	21751117	21751117	NBPF2P
chr1	21751162	21751162	NBPF2P
chr1	21754795	21754795	HS6ST1P1
chr1	21754803	21754803	HS6ST1P1
chr1	21760810	21760810	CROCCP5
chr1	21786248	21786248	PFN1P10
chr1	22094761	22094761	RP11-132G19.3
chr1	22234590	22234590	RP11-26H16.1
chr1	22234677	22234677	RP11-26H16.1
chr1	22394832	22394832	RP1-224A6.8
chr1	22649332	22649332	RP11-415K20.1
chr1	23466817	23466817	RP5-979D14.1
chr1	23571257	23571257	RP5-1057J7.1
chr1	23737324	23737324	RP4-654C18.1
chr1	23996783	23996783	RP11-223J15.2
chr1	24032290	24032290	RP5-886K2.1
chr1	24227960	24227960	RP11-4M23.2
chr1	24275505	24275505	RP11-4M23.4
chr1	24334370	24334370	RP11-4M23.7
chr1	24890117	24890117	RP11-496D1.2
chr1	25451543	25451543	RP4-781L3.1
chr1	25451543	25451543	RP4-781L3.1
chr1	25592592	25592592	RP3-465N24.5
chr1	25620654	25620654	SDHDP6
chr1	25662919	25662919	RP11-335G20.7
chr1	25725202	25725202	RP3-469D22.1
chr1	25725211	25725211	RP3-469D22.1
chr1	26213850	26213850	SNRPFP2
chr1	26215460	26215460	RP1-125I3.4
chr1	26536231	26536231	RP11-231P20.2
chr1	26589531	26589531	RP11-231P20.5
chr1	26653178	26653178	RP11-569G9.7
chr1	26781143	26781143	RP3-476K8.4
chr1	26845844	26845844	DPPA2P2
chr1	26966867	26966867	RP11-492M19.3
chr1	26973937	26973937	RP4-785J1.1
chr1	27306655	27306655	RP11-344H11.4
chr1	27310118	27310118	RP11-344H11.5
chr1	27312387	27312387	OSTCP2
chr1	27503241	27503241	RP11-40H20.5
chr1	27527324	27527324	CHCHD3P3
chr1	27533420	27533420	NPM1P39
chr1	27537755	27537755	SNRPEP7
chr1	27637730	27637730	RP11-4K3__A.3
chr1	27651819	27651819	RP11-4K3__A.5
chr1	27715971	27715971	RP1-144C9.2
chr1	27975929	27975929	RP1-159A19.3
chr1	28013320	28013320	CHMP1AP1
chr1	28065601	28065601	RP3-426I6.2
chr1	28066464	28066464	RPEP3
chr1	28316668	28316668	RP11-460I13.6
chr1	28421581	28421581	SPCS2P4
chr1	28422252	28422252	SPCS2P4
chr1	28436249	28436249	RP5-1053E7.2
chr1	28446959	28446959	RP5-1053E7.3
chr1	28780051	28780051	RP1-308E4.1
chr1	28852829	28852829	PRDX3P2
chr1	29308789	29308789	RP4-604A21.1
chr1	29814704	29814704	RP11-810H18.1
chr1	30377711	30377711	RP11-179G8.1
chr1	30699369	30699369	RP3-357I16.1
chr1	31509580	31509580	RP11-201O14.1
chr1	31523718	31523718	RP11-201O14.2
chr1	31567833	31567833	SEPW1P
chr1	31581034	31581034	RP11-490K7.1
chr1	31736091	31736091	RP11-490K7.4
chr1	31960435	31960435	RP11-439L8.2
chr1	32697447	32697447	MTMR9LP
chr1	32867709	32867709	GAPDHP20
chr1	32887579	32887579	RP11-395N6.4
chr1	32888814	32888814	LRRC37A12P
chr1	33445542	33445542	RP4-803A2.1
chr1	33445547	33445547	RP4-803A2.1
chr1	33452552	33452552	RP4-803A2.2
chr1	33764974	33764974	AL513327.1
chr1	33931849	33931849	TLR12P
chr1	33977607	33977607	RP4-580O19.2
chr1	34304123	34304123	HSPD1P14
chr1	34742459	34742459	RP4-657M3.2
chr1	35587622	35587622	EFCAB14P1
chr1	35816322	35816322	RPL5P4
chr1	35975342	35975342	RP4-728D4.3
chr1	36338870	36338870	RP4-789D17.4
chr1	36545920	36545920	RP4-665N4.4
chr1	36707498	36707498	UBE2V2P4
chr1	37095935	37095935	FTLP18
chr1	37796452	37796452	RPS29P6
chr1	38021842	38021842	RP3-423B22.5
chr1	38021847	38021847	RP3-423B22.5
chr1	38242341	38242341	ACTN4P2
chr1	38248128	38248128	RP11-109P14.2
chr1	38306657	38306657	RP11-109P14.8
chr1	38546243	38546243	RP5-884C9.3
chr1	39174602	39174602	RP11-334L9.1
chr1	39423946	39423946	RP11-781D11.1
chr1	39769965	39769965	RP11-420K8.2
chr1	39980627	39980627	OXCT2P1
chr1	39997509	39997509	PPIEL
chr1	40183699	40183699	RP1-144F13.4
chr1	40183699	40183699	RP1-144F13.4
chr1	40261514	40261514	RP1-118J21.24
chr1	40428351	40428351	RP3-342P20.2
chr1	40598435	40598435	RP11-115D7.3
chr1	40728343	40728343	RP1-39G22.4
chr1	40798747	40798747	RP1-228H13.1
chr1	40798749	40798749	RP1-228H13.1
chr1	40830437	40830437	RP1-228H13.2
chr1	41029205	41029205	RP1-63P18.2
chr1	41059304	41059304	GTF2F2P2
chr1	41403775	41403775	RP11-348A7.1
chr1	41407922	41407922	UBE2V1P8
chr1	41564309	41564309	RP4-635E8.1
chr1	41730221	41730221	RP11-399E6.2
chr1	42007739	42007739	RP11-486B10.4
chr1	42008206	42008206	RP11-486B10.4
chr1	42506267	42506267	HNRNPFP1
chr1	42606305	42606305	RP11-319C21.1
chr1	42878068	42878068	RP11-157D18.2
chr1	42957409	42957409	RP11-163G10.2
chr1	42965875	42965875	TMSB4XP1
chr1	42965875	42965875	TMSB4XP1
chr1	43036640	43036640	RP11-163G10.4
chr1	43352267	43352267	RP11-342M1.7
chr1	43356764	43356764	RP11-342M1.6
chr1	43368902	43368902	ATP6V1E1P1
chr1	44209141	44209141	RP11-184I16.3
chr1	44315971	44315971	SHMT1P1
chr1	44553629	44553629	RP5-1198O20.5
chr1	44568977	44568977	KRT8P47
chr1	44587824	44587824	RP11-570P14.1
chr1	44603513	44603513	RP4-675G8.2
chr1	44616265	44616265	RP4-675G8.3
chr1	44620699	44620699	RP4-675G8.4
chr1	44638177	44638177	RP5-891H21.1
chr1	44653614	44653614	RP5-891H21.5
chr1	45245997	45245997	RPS15AP11
chr1	45246002	45246002	RPS15AP11
chr1	45309592	45309592	RP5-882O7.1
chr1	45424228	45424228	CCNB1IP1P1
chr1	45453905	45453905	RP5-882O7.4
chr1	45454376	45454376	MRPS17P1
chr1	45535648	45535648	OSTCP5
chr1	45880691	45880691	RP11-291L19.1
chr1	45996598	45996598	HMGB1P48
chr1	46111487	46111487	RPS15AP10
chr1	46116710	46116710	RP11-767N6.2
chr1	46246948	46246948	RP11-630I5.1
chr1	46246948	46246948	RP11-630I5.1
chr1	46312665	46312665	TMA16P2
chr1	46570621	46570621	RP4-533D7.3
chr1	46836257	46836257	RP4-603I14.3
chr1	46897800	46897800	RP5-1109J22.1
chr1	47131581	47131581	RP11-8J9.1
chr1	47208000	47208000	RP11-8J9.5
chr1	47357310	47357310	RP11-346M5.1
chr1	47433350	47433350	RP11-346M5.6
chr1	47460053	47460053	RP11-346M5.5
chr1	47466569	47466569	RP11-346M5.4
chr1	47468666	47468666	RP11-346M5.3
chr1	47540449	47540449	RP11-184J23.2
chr1	47630181	47630181	MTND1P34
chr1	47949369	47949369	RP4-666O22.3
chr1	47963565	47963565	RPL21P24
chr1	48015867	48015867	ATP6V0E1P4
chr1	48555039	48555039	CYP46A4P
chr1	48790751	48790751	PPP1R8P1
chr1	48901638	48901638	RP11-329A14.1
chr1	48962934	48962934	RP11-329A14.2
chr1	50156933	50156933	RP5-926E3.1
chr1	50307492	50307492	ZNF859P
chr1	50482763	50482763	MTND2P29
chr1	50580608	50580608	RP11-492I2.1
chr1	50791802	50791802	RP11-183G22.1
chr1	50791941	50791941	RP11-183G22.1
chr1	50864496	50864496	HMGB1P45
chr1	50871101	50871101	FCF1P6
chr1	51246011	51246011	PHBP12
chr1	51312139	51312139	MRPS6P2
chr1	51623459	51623459	CFL1P2
chr1	51716269	51716269	RP11-296A18.5
chr1	51716274	51716274	RP11-296A18.5
chr1	51837941	51837941	RP11-275F13.3
chr1	52172809	52172809	GAPDHP51
chr1	52174733	52174733	SLC25A6P3
chr1	52325449	52325449	TSEN15P2
chr1	52446144	52446144	RP11-91A18.1
chr1	52625932	52625932	RP4-800M22.1
chr1	52627857	52627857	RP4-800M22.2
chr1	52645519	52645519	PDCL3P6
chr1	52655587	52655587	RP4-800M22.4
chr1	52717733	52717733	DNAJC19P7
chr1	52719292	52719292	ANAPC10P1
chr1	52834348	52834348	PLA2G12AP1
chr1	53038785	53038785	EEF1GP7
chr1	53174793	53174793	NDUFS5P3
chr1	53237865	53237865	RP11-159C21.4
chr1	53386093	53386093	RP4-631H13.6
chr1	53390920	53390920	RP4-631H13.4
chr1	53409207	53409207	RP4-631H13.5
chr1	53458867	53458867	RP11-334A14.2
chr1	53458872	53458872	RP11-334A14.2
chr1	53460397	53460397	TUBBP10
chr1	53538781	53538781	HIGD1AP11
chr1	53904043	53904043	SLC25A3P1
chr1	54307219	54307219	RP4-654H19.2
chr1	54440641	54440641	HNRNPA3P12
chr1	54481326	54481326	AL353898.1
chr1	54498815	54498815	AL353898.2
chr1	54555528	54555528	RP4-758J24.4
chr1	54565640	54565640	AL353898.3
chr1	54990496	54990496	RP5-866L20.2
chr1	55002468	55002468	HNRNPA1P63
chr1	55688051	55688051	GYG1P3
chr1	55833138	55833138	GOT2P1
chr1	55838382	55838382	RP4-633H17.2
chr1	56404386	56404386	PIGQP1
chr1	56673238	56673238	RP4-710M16.1
chr1	57004123	57004123	RPL21P23
chr1	57051284	57051284	RP11-377K22.3
chr1	57085081	57085081	RP11-377K22.2
chr1	58071518	58071518	RP11-243M12.1
chr1	58513846	58513846	HNRNPA1P6
chr1	58521804	58521804	RP11-393I23.2
chr1	58550090	58550090	RP11-393I23.3
chr1	58694353	58694353	RP11-414C16.1
chr1	59018584	59018584	RP4-592A1.4
chr1	59096512	59096512	RP4-592A1.2
chr1	59096686	59096686	RP4-592A1.2
chr1	59465347	59465347	PHBP3
chr1	60563086	60563086	PGBD4P8
chr1	62119865	62119865	RP11-430G17.1
chr1	62504513	62504513	LAMTOR5P1
chr1	62654802	62654802	PIGPP2
chr1	62656193	62656193	RPS15AP7
chr1	62673807	62673807	RP5-1155K23.4
chr1	62996306	62996306	RP11-293K19.1
chr1	63106792	63106792	RP5-849H19.2
chr1	63370850	63370850	RP4-771M4.2
chr1	63727783	63727783	AL138935.1
chr1	63825493	63825493	RP4-792G4.3
chr1	64254391	64254391	RP4-597J3.1
chr1	64308861	64308861	CFL1P3
chr1	64308866	64308866	CFL1P3
chr1	65384125	65384125	RP11-182I10.1
chr1	65407661	65407661	RP11-182I10.2
chr1	65450290	65450290	SLC2A3P2
chr1	65543095	65543095	RP4-535B20.2
chr1	65558074	65558074	MRPS21P1
chr1	65620162	65620162	RP4-700A9.1
chr1	65764437	65764437	RP5-1044H5.2
chr1	66041811	66041811	RP11-430H12.2
chr1	67743734	67743734	RP4-763G1.1
chr1	68026755	68026755	RP11-393N21.1
chr1	68125837	68125837	HNRNPCP9
chr1	68509012	68509012	RP4-609E1.2
chr1	68515042	68515042	ARL5AP3
chr1	68627443	68627443	CTBP2P8
chr1	68708156	68708156	RPS7P4
chr1	68748070	68748070	COX6B1P7
chr1	68841009	68841009	TCEB1P18
chr1	68847123	68847123	RP5-1033K19.2
chr1	68980057	68980057	RP4-694A7.3
chr1	70072537	70072537	RP11-379C1.1
chr1	70385039	70385039	PIN1P1
chr1	70996208	70996208	RP11-42O15.2
chr1	71126339	71126339	CASP3P1
chr1	71832736	71832736	RP11-115M14.1
chr1	72203855	72203855	RP11-175G14.2
chr1	72740234	72740234	GDI2P2
chr1	72767154	72767154	RPL31P12
chr1	73570474	73570474	KRT8P21
chr1	75987246	75987246	RP11-87O11.1
chr1	76047783	76047783	RP4-595K12.1
chr1	76107030	76107030	RP4-595K12.2
chr1	76209102	76209102	RP4-682C21.2
chr1	76209107	76209107	RP4-682C21.2
chr1	76819267	76819267	RP11-335E14.1
chr1	77165473	77165473	TPI1P1
chr1	77594767	77594767	RP4-706A16.3
chr1	77594798	77594798	RP4-706A16.3
chr1	77660509	77660509	RP11-363H12.1
chr1	78239549	78239549	RP4-706L14.2
chr1	78276506	78276506	RP11-181C21.4
chr1	78276545	78276545	RP11-181C21.4
chr1	78312794	78312794	NSRP1P1
chr1	78319039	78319039	RP11-181C21.6
chr1	78509066	78509066	RP11-386I14.2
chr1	78557182	78557182	RP11-386I14.3
chr1	78636164	78636164	RNFT1P2
chr1	78782840	78782840	RP11-472F19.1
chr1	79131956	79131956	RP4-641G12.3
chr1	79214757	79214757	RP4-641G12.4
chr1	79520629	79520629	PSAT1P3
chr1	79986764	79986764	ADH5P2
chr1	80557787	80557787	RP11-339A11.1
chr1	80749036	80749036	HMGB1P18
chr1	80916767	80916767	HNRNPA1P64
chr1	80929985	80929985	RP11-115A15.4
chr1	80961587	80961587	RP11-115A15.2
chr1	81546474	81546474	MTND2P30
chr1	81563951	81563951	RP5-831K15.1
chr1	81674252	81674252	RP3-445O10.1
chr1	81892140	81892140	HNRNPA3P14
chr1	81967478	81967478	RP5-837I24.1
chr1	82022805	82022805	MED28P8
chr1	82061841	82061841	RP5-837I24.5
chr1	82187377	82187377	ST13P20
chr1	84481547	84481547	RP4-552O12.1
chr1	84551423	84551423	RP11-486G15.1
chr1	84710016	84710016	RP11-82H13.2
chr1	84810360	84810360	RP11-376N17.4
chr1	84831110	84831110	UOX
chr1	84971973	84971973	SPATA1
chr1	84982042	84982042	SPATA1
chr1	85101840	85101840	RP11-484D4.3
chr1	86495536	86495536	RP4-682E18.1
chr1	86869858	86869858	RP11-444C12.1
chr1	87018307	87018307	RP4-651E10.3
chr1	87099958	87099958	CLCA3P
chr1	87250595	87250595	RP4-612B15.2
chr1	87510617	87510617	RP11-384B12.2
chr1	87511557	87511557	RP11-384B12.3
chr1	88778835	88778835	CTA-21C21.1
chr1	88963991	88963991	RP11-76N22.1
chr1	89043562	89043562	RPL36AP10
chr1	89294784	89294784	TCEB1P19
chr1	89389052	89389052	RP11-82K18.2
chr1	89569967	89569967	PTGES3P1
chr1	89569967	89569967	PTGES3P1
chr1	89755358	89755358	RP4-620F22.3
chr1	89790204	89790204	RP5-908D6.1
chr1	89859591	89859591	CAPNS1P1
chr1	89875877	89875877	GBP1P1
chr1	90126770	90126770	RP11-413E1.2
chr1	90459151	90459151	GEMIN8P4
chr1	90459151	90459151	GEMIN8P4
chr1	91358548	91358548	PHKA1P1
chr1	91489475	91489475	RPL5P6
chr1	91793925	91793925	FEN1P1
chr1	92000222	92000222	RP11-47K11.2
chr1	92065727	92065727	RP11-91I11.1
chr1	92100567	92100567	HSP90B3P
chr1	92108072	92108072	HSP90B3P
chr1	92531862	92531862	LPCAT2BP
chr1	92540089	92540089	SETP18
chr1	92540091	92540091	SETP18
chr1	92580359	92580359	GAPDHP46
chr1	92590857	92590857	PRKAR1AP
chr1	92668704	92668704	RP4-775D17.1
chr1	92694574	92694574	ACTBP12
chr1	93046032	93046032	RP4-593M8.1
chr1	93112604	93112604	HMGB3P9
chr1	93197556	93197556	RP11-330C7.3
chr1	93214731	93214731	RP11-330C7.4
chr1	93221350	93221350	CCNJP2
chr1	93396901	93396901	RP11-386I23.1
chr1	93656296	93656296	RP4-612C19.1
chr1	93665311	93665311	RP4-612C19.2
chr1	93744517	93744517	RP4-717I23.2
chr1	93850043	93850043	RP4-713B5.2
chr1	94386823	94386823	CHCHD2P5
chr1	94388129	94388129	MTND4P11
chr1	94389941	94389941	RP5-837O21.6
chr1	94390298	94390298	RP5-837O21.5
chr1	94390961	94390961	RP5-837O21.4
chr1	94391587	94391587	RP5-837O21.8
chr1	94392170	94392170	RP5-837O21.3
chr1	94393269	94393269	RP5-837O21.1
chr1	94400034	94400034	RP5-837O21.2
chr1	94767593	94767593	GAPDHP29
chr1	94871950	94871950	RP11-366L18.1
chr1	95116099	95116099	KATNBL1P2
chr1	95138473	95138473	PGBD4P7
chr1	96856207	96856207	RP4-736I12.1
chr1	96884149	96884149	UBE2WP1
chr1	96912485	96912485	EEF1A1P11
chr1	97049972	97049972	NDUFS5P2
chr1	97049977	97049977	NDUFS5P2
chr1	97144429	97144429	RP11-122C9.1
chr1	98011256	98011256	SEC63P1
chr1	98051417	98051417	RPL26P9
chr1	98240224	98240224	RP11-272L13.2
chr1	98321130	98321130	RP11-272L13.4
chr1	98542555	98542555	NFU1P2
chr1	99473773	99473773	RP11-234N17.1
chr1	99929933	99929933	RP4-735N21.1
chr1	100163797	100163797	HMGB3P10
chr1	100308165	100308165	RP4-581O6.1
chr1	100564794	100564794	RP4-714D9.4
chr1	100662371	100662371	RP11-305E17.7
chr1	100678848	100678848	BRI3P1
chr1	100714645	100714645	RP11-305E17.4
chr1	100714645	100714645	RP11-305E17.4
chr1	100797359	100797359	RP5-837M10.1
chr1	100858588	100858588	BCAS2P2
chr1	101052204	101052204	RP11-84O12.2
chr1	101117502	101117502	RP11-84O12.3
chr1	101406572	101406572	HNRNPA1P68
chr1	101656075	101656075	RP5-1033H2.1
chr1	101721829	101721829	RP4-575N6.2
chr1	101736430	101736430	PPIAP7
chr1	102251891	102251891	RP11-556K13.1
chr1	102251895	102251895	RP11-556K13.1
chr1	102348071	102348071	RP11-82O2.2
chr1	102358660	102358660	DNAJA1P5
chr1	103565698	103565698	SOD2P1
chr1	104112174	104112174	ACTG1P4
chr1	104210692	104210692	RP5-1108M17.5
chr1	104256344	104256344	AMYP1
chr1	104469188	104469188	RP11-97C18.1
chr1	104615631	104615631	RP11-364B6.2
chr1	104695927	104695927	FTLP17
chr1	105976615	105976615	RP11-414B7.1
chr1	106240660	106240660	SEPT2P1
chr1	106433314	106433314	RP11-90H3.2
chr1	106434360	106434360	RP11-90H3.1
chr1	106623422	106623422	RP5-947P14.2
chr1	107086963	107086963	RP11-478L17.1
chr1	107322844	107322844	RP11-110F24.1
chr1	107345376	107345376	RP11-233E12.4
chr1	108047824	108047824	RP11-270C12.3
chr1	108815760	108815760	SLC25A24P1
chr1	108926357	108926357	SLC25A24P2
chr1	109044979	109044979	ST13P21
chr1	109051195	109051195	RP5-964H19.2
chr1	109309462	109309462	RP11-475E11.2
chr1	109529584	109529584	RP5-1065J22.2
chr1	109534877	109534877	RP11-20O24.4
chr1	109534903	109534903	RP11-20O24.4
chr1	109572688	109572688	RP11-20O24.1
chr1	109589449	109589449	RANP5
chr1	109646156	109646156	RP5-1065J22.4
chr1	110193991	110193991	RP5-1160K1.1
chr1	110353263	110353263	NDUFA5P10
chr1	111023373	111023373	CYMP
chr1	111390698	111390698	NRBF2P3
chr1	111396559	111396559	OR11I1P
chr1	111550321	111550321	CCNT2P1
chr1	111792875	111792875	CHIAP1
chr1	111822681	111822681	CHIAP2
chr1	111866454	111866454	RP5-1125M8.3
chr1	111895896	111895896	CHIAP3
chr1	111922912	111922912	HIGD1AP12
chr1	111925481	111925481	PGCP1
chr1	111980135	111980135	UBE2FP3
chr1	112190912	112190912	KRT18P57
chr1	112905902	112905902	RP5-965F6.1
chr1	113168527	113168527	MRPL53P1
chr1	113290716	113290716	RP11-426L16.7
chr1	113433388	113433388	RP3-522D1.2
chr1	113466044	113466044	AKR7A2P1
chr1	113667942	113667942	RLIMP2
chr1	113711615	113711615	RP11-389O22.4
chr1	113741446	113741446	RP11-389O22.5
chr1	113992321	113992321	RP11-512F24.1
chr1	114119378	114119378	MTND5P20
chr1	114241505	114241505	RP4-730K3.3
chr1	114544054	114544054	RP4-590F24.1
chr1	114896607	114896607	RP4-591B8.3
chr1	115002555	115002555	RP4-591B8.2
chr1	115010936	115010936	EIF2S2P5
chr1	115078615	115078615	PKMP1
chr1	115379847	115379847	NR1H5P
chr1	116014561	116014561	RP4-663N10.2
chr1	116099446	116099446	TCEB1P20
chr1	116107221	116107221	CNOT7P2
chr1	116119849	116119849	RP11-710N8.3
chr1	116399530	116399530	HNRNPA1P43
chr1	116459117	116459117	RP11-12L8.2
chr1	117075557	117075557	NAP1L4P1
chr1	117256454	117256454	GAPDHP64
chr1	117282602	117282602	NEFHP1
chr1	117317725	117317725	FTH1P22
chr1	117680850	117680850	RPS15AP9
chr1	118092036	118092036	VPS25P1
chr1	118183433	118183433	AL365331.2
chr1	118242650	118242650	RP11-134N8.2
chr1	118320708	118320708	AL390877.1
chr1	119156955	119156955	PSMC1P12
chr1	119255621	119255621	RP4-630J13.1
chr1	119627620	119627620	RBMX2P3
chr1	119669161	119669161	RPS3AP12
chr1	119761936	119761936	RP11-418J17.2
chr1	119977078	119977078	RP5-871G17.5
chr1	119981623	119981623	HSD3BP2
chr1	119981629	119981629	HSD3BP2
chr1	120004651	120004651	GAPDHP23
chr1	120009843	120009843	HSD3BP1
chr1	120038458	120038458	GAPDHP58
chr1	120076371	120076371	GAPDHP32
chr1	120081131	120081131	HSD3BP3
chr1	120101377	120101377	GAPDHP27
chr1	120106688	120106688	HSD3BP4
chr1	120113917	120113917	HSD3BP4
chr1	120138789	120138789	GAPDHP33
chr1	120143962	120143962	HSD3BP5
chr1	120377387	120377387	NBPF7
chr1	120377492	120377492	NBPF7
chr1	120395938	120395938	PFN1P9
chr1	120428926	120428926	NOTCH2P1
chr1	120880882	120880882	RP11-439A17.5
chr1	120904674	120904674	HIST2H3DP1
chr1	120906042	120906042	HIST2H2BA
chr1	121244141	121244141	RP11-344P13.3
chr1	121261142	121261142	EMBP1
chr1	142660016	142660016	SNX18P15
chr1	142688378	142688378	SNX18P16
chr1	142697652	142697652	ANKRD20A12P
